ABHD11-AS1,ENSG00000225969,GRCh38,chr7,73735038,73736054,hg19,73149368,73150384,0,0
ACTG1P11,ENSG00000229465,GRCh38,chrY,18147884,18149008,hg19,20309770,20310894,0,0
ACTG1P2,ENSG00000229129,GRCh38,chrY,17757001,17758125,hg19,19868881,19870005,0,0
ACTP1,ENSG00000229890,GRCh38,chr2,108099110,108099492,hg19,108715566,108715948,0,0
AFF2-IT1,ENSG00000223516,GRCh38,chrX,148546878,148547397,hg19,147628399,147628918,0,0
AHCYP8,ENSG00000242529,GRCh38,chr1,248721993,248722201,hg19,248885294,248885502,0,0
AK4P6,ENSG00000235606,GRCh38,chr4,151027090,151027617,hg19,151948242,151948769,0,0
AKR1B1P8,ENSG00000231371,GRCh38,chrX,116043483,116044418,hg19,115174736,115175671,0,0
ALDH7A1P2,ENSG00000232292,GRCh38,chr2,172893763,172894383,hg19,173758491,173759111,0,0
ALDH7A1P4,ENSG00000234489,GRCh38,chr10,62741208,62741385,hg19,64500968,64501145,0,0
AMD1P2,ENSG00000237801,GRCh38,chrX,155828585,155829576,hg19,155058248,155059239,0,0
ANKRD54P1,ENSG00000236442,GRCh38,chr10,45151445,45151915,hg19,45646893,45647363,0,0
APOBEC3AP1,ENSG00000248822,GRCh38,chr4,170099818,170100104,hg19,171020969,171021255,0,0
ARAFP2,ENSG00000224368,GRCh38,chr7,63404842,63405400,hg19,62865220,62865778,0,0
ARAFP3,ENSG00000227298,GRCh38,chr7,63342711,63343200,hg19,62803089,62803578,0,0
ARF4P3,ENSG00000214051,GRCh38,chr13,100756551,100757059,hg19,101408805,101409313,0,0
ARHGEF7-AS1,ENSG00000227352,GRCh38,chr13,111144305,111144733,hg19,111796652,111797080,0,0
ARL2BPP5,ENSG00000254351,GRCh38,chr5,162761833,162762313,hg19,162188839,162189319,0,0
ARL5AP1,ENSG00000227864,GRCh38,chrX,119186442,119186829,hg19,118320405,118320792,0,0
ARL5AP3,ENSG00000228431,GRCh38,chr1,68049360,68049745,hg19,68515043,68515428,0,0
ARMC8P1,ENSG00000225254,GRCh38,chr9,38452782,38454070,hg19,38452779,38454067,0,0
ATG10-IT1,ENSG00000236447,GRCh38,chr5,81991995,81992481,hg19,81287814,81288300,0,0
ATG12P2,ENSG00000224121,GRCh38,chr2,222904640,222905055,hg19,223769358,223769773,0,0
ATP1B3-AS1,ENSG00000244124,GRCh38,chr3,141918252,141919021,hg19,141637094,141637863,0,0
ATP5EP1,ENSG00000250922,GRCh38,chr4,105532475,105532630,hg19,106453632,106453787,0,0
ATP5F1P1,ENSG00000224451,GRCh38,chr13,51598416,51599460,hg19,52172552,52173596,0,0
ATP5G1P6,ENSG00000214318,GRCh38,chr18,63496989,63497400,hg19,61164222,61164633,0,0
ATP5G1P7,ENSG00000232734,GRCh38,chr10,69432972,69433371,hg19,71192728,71193127,0,0
ATP5J2P6,ENSG00000261102,GRCh38,chr15,66414933,66415198,hg19,66707271,66707536,0,0
ATP5JP1,ENSG00000237701,GRCh38,chrY,6900753,6901372,hg19,6768794,6769413,0,0
ATP5LP3,ENSG00000249256,GRCh38,chr4,24658072,24658375,hg19,24659695,24659998,0,0
ATP5LP6,ENSG00000267376,GRCh38,chr17,76202644,76202796,hg19,74198725,74198877,0,0
ATP5LP7,ENSG00000267189,GRCh38,chr17,42647834,42648143,hg19,40799852,40800161,0,0
ATP6V0E1P3,ENSG00000238038,GRCh38,chr2,33602041,33602286,hg19,33827108,33827353,0,0
ATP6V0E1P4,ENSG00000227883,GRCh38,chr1,47550196,47550753,hg19,48015868,48016425,0,0
ATP6V1G1P6,ENSG00000249372,GRCh38,chr5,78222184,78222517,hg19,77518008,77518341,0,0
AZU1P1,ENSG00000270444,GRCh38,chr13,39856710,39857094,hg19,40430847,40431231,0,0
B3GNTL1P2,ENSG00000271328,GRCh38,chr6,47368943,47369230,hg19,47336679,47336966,0,0
BACE2-IT1,ENSG00000224388,GRCh38,chr21,41180097,41180626,hg19,42552024,42552553,0,0
BANF1P1,ENSG00000258531,GRCh38,chr14,68936602,68936864,hg19,69403319,69403581,0,0
BANF1P4,ENSG00000223828,GRCh38,chr1,174756850,174757119,hg19,174725988,174726257,0,0
BNIP3P6,ENSG00000257356,GRCh38,chr14,18418775,18419273,hg19,19195252,19195750,0,0
BOLA2B,ENSG00000169627,GRCh38,chr16,30192934,30194306,hg19,30204255,30205627,0,0
